id;name;album;album_id;artists;artist_ids;track_number;disc_number;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature;year;release_date
1M4PrNPEthRcmxcET7SJue;---;Decade 1988-1998;4LYxxRrZsoAK0JargddqCA;['Jackopierce'];['1D9nOrYVEVg5nRbUABsrcW'];35;1;FALSO;447;271;5;-13135;1;362;821;0;3,52E+16;406;68929;120800;40;1997;1997-10-26
0zkZ7DK0srvot1qOhj9v7e;---;2020;1iQv62pCsikjK7sazM8hpU;['Seer'];['3mALR4ntDkpQtXoYE1bnT4'];5;1;FALSO;302;247;8;-13408;1;408;99;9,21E+15;242;1,17E+16;63442;51347;40;2006;2006-04-26
674SwmC0kYUXGWexEiqoYI;---;2020;1iQv62pCsikjK7sazM8hpU;['Seer'];['3mALR4ntDkpQtXoYE1bnT4'];12;1;FALSO;2,06E+16;155;7;-1,3416E+16;1;346;807;792;276;131;8,6114E+15;59827;40;2006;2006-04-26
5y95xiRF6ambRwn4gFoYaT;---;2020;1iQv62pCsikjK7sazM8hpU;['Seer'];['3mALR4ntDkpQtXoYE1bnT4'];14;1;FALSO;21;849;9;-2,2847E+16;1;361;9,94E+15;879;793;457;215892;97667;30;2006;2006-04-26
2kDL4idq2qe4jTLY8jwR0g;----;I Will Cut Your Heart out for This;0MTRmESjYTLvNhHTJpIejM;['Bloody Knives'];['0iB3lPHMcDMQy0HG5eH8cP'];6;1;FALSO;166;292;8;-459;1;565;657;853;315;562;116029;119551;40;2016;2016-04-01
3LFNqCrWqRuCW573a1XKNl;-----;Regressions;3FAQOCEap58fkflB3dUftG;['Cleric'];['4ayA65s6ylf0deiUBtKne7'];2;1;FALSO;182;809;3;-1,8263E+16;1;534;0,000642;965;1,23E+16;482;7,7177E+15;112267;40;2010;2010-04-27
1RNBiIaNh8znKYLPlzAyQi;-----;Regressions;3FAQOCEap58fkflB3dUftG;['Cleric'];['4ayA65s6ylf0deiUBtKne7'];4;1;FALSO;121;496;8;-25143;1;2,16E+16;78;1,16E+16;6,66E+15;384;1,63008E+16;128360;50;2010;2010-04-27
5z8sy6JgnNr1tmGwoQZhNO;-----;Regressions;3FAQOCEap58fkflB3dUftG;['Cleric'];['4ayA65s6ylf0deiUBtKne7'];6;1;FALSO;35;2,46E+16;0;-17877;1;422;97;9,13E+15;1,12E+16;365;135184;132973;40;2010;2010-04-27
2MS3Bi0hcIOVuUJ6tAm91f;-----;May to December;65NfnowshQtG1QSnBWzKNg;['AES'];['3ol75Ap0oerxentf77ZtYX'];19;1;FALSO;802;953;8;-6901;0;1,73E+16;418;863;677;7,14E+15;93081;118627;40;2003;2003-01-01
1KAdSvZimDmmRtuziafZlZ;------;Drugs, Sex & Discotheques;0OHDcRpbtvDYfQALIPZXVw;['Prima Donnas'];['60xkx3xaoGvR7dVrLewdKI'];15;1;FALSO;0;0;0;-600;0;0;0;0;0;0;0;1142147;0;2001;2001
03zGrsOwyHgZeVUgE1UI0c;-----------------------;One More Rocket Summer;169GOp3H0HWWvOcS05L5LH;['The Neon Calm'];['0uf5A5rBCnregriyApf6gj'];12;1;FALSO;534;336;7;-11395;1;283;9,06E+15;8,29E+15;797;281;75002;162707;40;2005;2005-01-01
34DDb2G5ifE1NC91fjl4JW;- - Part 1;Free Rain;3cNj6c3pYTw5n0ZTncXRBm;['Mujaji'];['0xuuPO6hXkH1AlehndvwWG'];2;1;FALSO;222;409;10;-21912;1;459;715;0,000173;115;939;1,15733E+16;32080;30;2001;2001-04-23
34FXFywiyzrPQTLgEchq1N;- - Part 2;Free Rain;3cNj6c3pYTw5n0ZTncXRBm;['Mujaji'];['0xuuPO6hXkH1AlehndvwWG'];4;1;FALSO;284;5,33E+15;10;-2495;0;783;116;899;361;377;9,0857E+15;38293;10;2001;2001-04-23
5lbhhKrEPWzbHe5d55lOIR;- - Part 3;Free Rain;3cNj6c3pYTw5n0ZTncXRBm;['Mujaji'];['0xuuPO6hXkH1AlehndvwWG'];8;1;FALSO;0;34;0;-1,8571E+16;0;0;902;0;8,03E+15;0;0;9800;0;2001;2001-04-23
6Mi1yEdN1R41u1C8ZTwXzg;- - Part 4;Free Rain;3cNj6c3pYTw5n0ZTncXRBm;['Mujaji'];['0xuuPO6hXkH1AlehndvwWG'];10;1;FALSO;242;3,67E+15;7;-26171;1;2,11E+16;7,81E+15;273;7,34E+15;3,46E+16;175362;18880;40;2001;2001-04-23
7BeKVXRtM7mBg3SvAnL41s;- Daffodil -;Into the Marinesnow;7mMT5XWwRqQdrMr14TYomP;['No Limited Spiral'];['0xoZVyo29QI74FQ6FgPaPk'];6;1;FALSO;574;3,99E+16;2;-11132;0;302;9,69E+15;9,84E+15;79;188;1,00004E+16;128667;40;2017;2017-07-28
5jHpdrtlhwzmo2bzoh6jNo;- Exit Stage Right --->;Major Melodies Backward Beginnings;4I0sl0Go3P4pB4qE2d9LHz;['J Burn'];['3DpgXEF8dxjq5XfRClUNJ9'];5;1;FALSO;257;956;7;-5096;1;4;665;8,34E+15;4;5,58E+15;81122;67036;30;2014;2014-04-29
0QPnEfxgQRKtqSI6gFzX5X;- feedyellow mix.1;Split;6IHIkW7SCOM1f1bIo9WF0Y;['Merzbow / Sutcliffe Jugend / Satori'];['4GO4VU8h66mY9PyCx17xZ6'];1;1;FALSO;146;10;2;-7,02E+15;1;168;144;8,29E+15;127;236;138358;874973;40;2012;2012-03-05
