id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,cluster
5lRtnfrCah6ntObtZLbZTU,Carbon,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],5,1,False,0.4479999999999999,0.584,8,-9.971,0,0.0296,0.8029999999999999,0.3339999999999999,0.0858,0.4270000000000001,157.99200000000005,273333,3.0,2002,2002-10-28,0
01Vjr2ox7iQrJuXlwHyUp1,Another Plane Went Down,Whole New You,4qye8JvPSQlrkc3rOTfZmS,['Shawn Colvin'],['0K7VN4aHxHcEb7PqkfoIVA'],6,1,False,0.612,0.518,11,-11.5,0,0.0282,0.555,0.053,0.0973,0.313,97.928,334640,4.0,2001,2001-03-20,6
7tPDxnbL6pqGd8wesq9HLl,Pain,New Life Faded,1xNWaXNMS8798hlEBxdVjL,['Death & Desire'],['3jfxxO6JNrzzhov82l1wX2'],7,1,False,0.509,0.603,8,-6.494,1,0.0558,0.0018,3.1e-05,0.203,0.442,84.009,344149,4.0,2011,2011-02-08,1
3wLgM9bQy2YwgsjvFN6d0D,Johnny Cash,Sessions,4FZtQN0bujuzJih6UZDXgp,['Carter The Unstoppable Sex Machine'],['5RFBPz01PqvSQ1QhEgaxOp'],9,1,False,0.546,0.332,9,-10.711,0,0.0452,0.8109999999999999,0.000416,0.125,0.204,108.21,266787,4.0,1998,1998-01-01,2
2V9XOpWE0capgHnbJkeAh1,Out of Touch - Video Mix,Big Bam Boom,3RZ6xnejkUMgzmkdlsywFu,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],2,1,False,0.777,0.732,9,-8.404,0,0.0331,0.0831,0.000915,0.0585,0.907,114.885,261933,4.0,1984,1984-10-12,6
3nvfZxZcdZ5rIy8bxAr5fX,Heartbreak Time,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],12,1,False,0.611,0.61,5,-7.851,0,0.0393,0.299,0.0,0.297,0.684,171.995,246400,4.0,2018,2018-04-10,6
6RovFMOG0avksTizHRlbUi,Rosaryville,Rosaryville,747XdfKqkymjuvap8Lm1Hv,['Kate Campbell'],['1NZA6DefBtQo2PgcmBtnTg'],1,1,False,0.7290000000000001,0.5870000000000001,5,-7.853,1,0.0276,0.336,1.53e-06,0.0668,0.636,129.833,269507,4.0,1999,1999-07-20,1
7lmeHLHBe4nmXzuXc0HDjk,Testify,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],1,1,False,0.47,0.978,7,-5.399,1,0.0727,0.0261,1.09e-05,0.356,0.503,117.906,210133,4.0,1999,1999-11-02,1
3Hxu3Ey1TV9mZ5XqMXckiS,War Within a Breath,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],12,1,False,0.3989999999999999,0.965,6,-5.901,1,0.143,0.00442,0.0314,0.3670000000000001,0.174,98.464,216427,4.0,1999,1999-11-02,1
1W97E5OnGbObOdWRlqE0h2,Rocking,Holiday Songs And Lullabies,2SJNPdvhhgpZNbqO0KL8Ei,['Shawn Colvin'],['0K7VN4aHxHcEb7PqkfoIVA'],4,1,False,0.348,0.0757,0,-16.611,1,0.0356,0.983,5.770000000000001e-05,0.11,0.186,95.762,152800,5.0,1998,1998-10-08,2
