domain,algorithm_name,execution_time,n_clusters,n_outliers,silhouette_score,calinski_harabasz_score,davies_bouldin_score,balance_score,entropy_score,interpretability_score,coherence_score,granularity_bonus,meets_granularity_criteria,composite_score,valid_result,error_message,algorithm,k,eps,n_samples,n_features
musical,hierarchical_complete,2.143552303314209,10,0,0.04636675448739877,279.8319281820581,2.490964842646764,0.0,0.6586573586592861,0.3116515367142415,0.3116515367142415,1.0,True,0.31928532051595815,True,,hierarchical_complete,10.0,,7811,12
musical,hierarchical_complete,2.268419027328491,9,0,0.03352901341383,250.2539270262156,2.5602561325888287,0.0,0.6133754331756476,0.31459649307131066,0.31459649307131066,1.0,True,0.3179486506263366,True,,hierarchical_complete,9.0,,7811,12
musical,hierarchical_complete,2.3854072093963623,8,0,0.035506302831668536,254.92758021844992,2.3955860758365652,0.0,0.610007484148627,0.30592515071184,0.30592515071184,1.0,True,0.31651097556711827,True,,hierarchical_complete,8.0,,7811,12
musical,hierarchical_complete,2.149578809738159,7,0,0.049636595877536445,285.053040263211,2.3327848838866676,0.0,0.6255238317634397,0.2923653444021888,0.2923653444021888,1.0,True,0.31591855826206827,True,,hierarchical_complete,7.0,,7811,12
musical,hierarchical_complete,2.187103748321533,6,0,0.0477407942187536,287.58611149727096,2.305369075962929,0.0,0.5722333357041338,0.29332152461947675,0.29332152461947675,1.0,True,0.3158254240567084,True,,hierarchical_complete,6.0,,7811,12
musical,gmm_full,5.010999917984009,8,0,0.024168207658251867,197.49726430327857,3.576033019488761,0.0096268745293151,0.7447200617522175,0.28447828716704826,0.28447828716704826,1.0,True,0.31340895094094195,True,,gmm_full,8.0,,7811,12
musical,hierarchical_complete,2.216697931289673,5,0,0.051488360407572945,332.5350364492922,2.395218912915778,0.0,0.6116602236401276,0.2598678552967815,0.2598678552967815,1.0,True,0.30969682512049224,True,,hierarchical_complete,5.0,,7811,12
musical,dbscan_euclidean,0.4295065402984619,0,7811,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_euclidean,,0.5,7811,12
musical,dbscan_euclidean,0.7563376426696777,0,7811,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_euclidean,,0.7,7811,12
musical,dbscan_euclidean,1.0090909004211426,0,7811,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_euclidean,,1.0,7811,12
musical,dbscan_euclidean,1.4106242656707764,0,7811,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_euclidean,,1.2,7811,12
