id;name;album;album_id;artists;artist_ids;track_number;disc_number;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature;year;release_date
1SEUePImDPI6ou1jaynYwn;Allstar;Hit Songs for Girls;1quGgtJOiIXJf73SBZpXr7;['Superconductor'];['0ylSz6P3SXAIdKuxPehb2f'];11;1;False;0,182;0,943;2;-6,237;0;0,0834;0,354;0,823;0,318;0,0661;121,603;156533;3,0;1993;1993-08-24
1tq4LWfRCaFxTHT2fmwwzz;Here Is the Big Sky;Recombination;2LGtn8DOxIns33csSbGVa7;['Taylor Haskins'];['7vlD0SUijZSg3dOf92EKgU'];2;1;False;0,214;0,755;9;-7,0120000000000005;0;0,0346;0,0531;0,8170000000000001;0,107;0,361;154,741;396533;3,0;2011;2011-06-06
6ayyHr47XMKNPuu3sqG6r1;Iceland;In This Life;7jxWR5ojzdvI8DFq9N2cSk;['Virgil Donati'];['0mKi9K7XoFGTNfOhwlxr6Y'];7;1;False;0,516;0,738;5;-5,381;1;0,0381;0,0809;0,757;0,111;0,276;160,006;439560;3,0;2013;2013-07-23
25Z41XaF61EkfRboZg4VHD;Popul Vuh;The Order of Things;0DTrQDDUc6Ck9xiPbqk2e8;['Tarentel'];['1Lqqtkuf3lzDlSJ1AGK3vg'];2;1;False;0,28;0,264;4;-14,813;0;0,0344;0,0521;0,885;0,107;0,0827;120,434;406773;3,0;2001;2001-08-07
71ysHLZf1P4lrbzkjhR43x;Wrong Flesh;Vision Crimes / Monomania;4vanYbNTngHFldrFZ1erRr;['Child Bite'];['1Sk45af6ymdv4nyw3ca6f4'];8;1;False;0,165;0,93;10;-8,211;1;0,0954;1,64e-06;0,5770000000000001;0,0961;0,1369999999999999;131,526;152413;3,0;2013;2013-04-02
0mZ5R2gInfYAh4DYsLOJjd;Danza de los muertos;danza;47OI17EdDZXNH7GBFsuEu6;['Wolgemut'];['33MYXt3aTNqXXNYWccS7jc'];9;1;False;0,392;0,624;11;-7,95;0;0,095;0,0107;0,892;0,0772;0,3279999999999999;141,44799999999995;212000;3,0;2002;2002-01-01
4vG6XfuqSkRqUhEco4PBFp;Dementia;The Deluge;4qOXZ0Ac6tY0HHXYILTUO6;['Manilla Road'];['1qt7m48wpniTuMJ2YsVBI5'];1;1;False;0,172;0,7759999999999999;4;-10,613;1;0,0816;4,37e-06;0,4029999999999999;0,0919;0,542;91,464;189000;3,0;2015;2015-10-02
18fQZ3f8SJbywMtt0gs1ZQ;Heavy Mental;Bullet Men;0RiJo764RnET7OgY6wCyT8;['Daniel Lenz'];['4mTt09EoZVo6sMaCGTTdLI'];8;1;False;0,5589999999999999;0,764;9;-10,051;1;0,0629;0,0149;0,86;0,3289999999999999;0,2689999999999999;112,42;85813;3,0;2018;2018-09-07
1XxQ1YaeaIuE0tJzencgBk;Effortless Regurgitation of Bright Red Blood;Effortless Regurgitation...the Torture Sessions;7nvOeSNBAFozvTrQcg25vP;['Regurgitate'];['0PwXJpoSJEOIiPNvartOr6'];37;1;False;0,162;0,906;6;-7,12;0;0,0637;0,0002279999999999;0,8079999999999999;0,159;0,532;97,764;78307;3,0;1999;1999-05-25
3P91Tk37L1xegim8Tg8zP4;Babyohbaby - Ijustcantstanditanymore!;Here We Go Magic;72pc5fo00f1zYUngNhX56f;['Here We Go Magic'];['4WxjrOJGIngO2hJnlCeK7f'];7;1;False;0,2019999999999999;0,713;6;-11,005999999999998;1;0,0519;0,625;0,968;0,0697;0,0357;90,61;125480;3,0;2009;2009-02-17
6d7xvaPxUePdQPFxPFJQBJ;Customer Service;Set For Extinction;6AfhvJxBslrkm8oe8J3gRy;['Kill The Client'];['3tsRbmEa0VwMYeDwR6aSeJ'];18;1;False;0,161;0,82;6;-2,345;1;0,0913;2,12e-05;0,529;0,341;0,0584;111,188;81267;3,0;2010;2010-10-26
329T2HVjiZYvL2YlHleAQj;Tara;Horse-Tiger;6jOgGVWcRqthnChiKSDQ0B;['Ole Lukkoye'];['4aTG3xKGNIzwIYF9rwMJMD'];4;1;False;0,568;0,599;8;-13,467;1;0,0382;0,1119999999999999;0,8009999999999999;0,184;0,2019999999999999;118,003;518293;3,0;2000;2000
4FiEIodMBGDQsmWDBtYhch;From Here To The Streets;From Here To The Streets;4oIJVkQca4cVjxcyjw1nmG;['Motiv'];['2F4cuAYSy5gyvc2K24tWPY'];3;1;False;0,526;0,6729999999999999;8;-9,235;0;0,0537;0,148;0,8320000000000001;0,11;0,627;98,885;298147;3,0;2004;2004-11-03
